,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
189,734,441,720,450,126,158,4
190,852,594,810,525,142,185,4
191,1077,539,975,720,141,216,4
192,941,496,900,570,151,220,4
193,854,433,855,525,121,208,4
194,800,457,720,510,124,166,4
195,1023,344,750,540,314,169,4
196,836,450,765,540,133,163,4
197,869,393,795,525,176,168,4
198,814,525,721,524,126,164,4
199,904,507,870,630,105,169,4
200,865,484,795,570,112,183,4
201,870,490,780,570,116,184,4
202,831,454,826,509,133,189,4
203,933,487,766,599,155,179,4
204,854,700,810,525,134,195,4
205,856,463,780,525,125,206,4
206,849,519,841,525,131,193,4
207,971,439,855,540,258,173,4
208,1330,675,2010,615,267,448,0
209,1806,651,1485,885,481,440,0
210,1969,348,240,240,731,998,4
211,1285,644,1095,810,222,253,0
212,1326,642,1230,720,242,364,0
213,1634,509,1275,810,433,391,0
214,886,506,766,570,133,183,4
215,853,483,855,510,127,216,4
216,825,483,810,525,100,200,4
217,839,466,750,570,102,167,4
218,889,524,720,615,122,152,4
219,807,480,810,540,103,164,4
220,806,485,750,525,114,167,4
221,789,485,885,405,98,286,4
222,842,471,750,540,135,167,4
223,867,509,781,569,123,175,4
224,1146,244,871,600,313,233,4
225,977,345,780,555,199,223,4
226,1324,172,1125,705,377,242,0
227,1360,527,1395,705,286,369,0
228,2042,702,1350,930,279,833,0
229,2036,764,1515,765,363,908,0
230,1746,511,1515,855,503,388,0
231,1462,650,2580,750,264,448,0
232,1840,286,1171,899,684,257,0
233,2457,204,1560,1005,1016,436,0
234,3096,310,2310,1245,1187,664,7
235,2107,664,1981,795,583,729,0
236,1873,720,1725,900,495,478,0
237,1581,889,1500,810,218,553,0
238,1214,426,1095,750,207,257,4
239,1016,237,2010,315,375,326,0
240,1331,368,2040,660,387,284,0
241,1154,590,976,764,169,221,4
242,1051,646,1006,645,159,247,4
243,1276,523,1080,735,209,332,0
244,1425,381,1050,780,410,235,0
245,1532,325,1066,750,518,264,0
246,1487,463,1065,795,470,222,0
247,1449,517,1350,645,387,417,0
248,1280,683,1215,780,189,311,0
249,1640,353,1125,780,607,253,0
250,1242,732,1260,735,207,300,0
251,1525,622,1275,795,394,336,0
252,1412,521,1381,689,358,365,0
253,1368,643,1171,780,296,292,0
254,1587,504,1125,780,582,225,0
255,1580,375,1200,750,550,280,0
256,1705,310,1110,915,605,185,0
257,1706,317,1246,780,639,287,0
258,1276,619,1260,690,282,304,0
259,1509,548,1125,900,385,224,0
260,1538,437,1200,780,491,267,0
261,1629,511,1170,960,427,242,0
262,1474,573,1215,810,387,277,0
263,1336,650,1111,824,242,270,0
264,1801,387,1186,855,652,294,0
265,1935,249,1395,810,751,374,0
266,1855,135,1155,1110,592,153,0
267,1242,350,1246,614,342,286,0
268,1107,280,885,540,370,197,4
269,1126,308,825,585,366,175,4
270,1097,396,1035,480,289,328,4
271,931,550,900,555,161,215,4
272,1100,382,946,554,311,235,4
273,955,524,871,584,193,178,4
274,944,521,931,554,176,214,4
275,1036,414,975,495,253,288,4
276,976,523,855,615,173,188,4
277,891,506,1065,390,146,355,4
278,1103,337,870,600,312,191,4
279,1117,237,870,570,367,180,4
280,1030,545,900,570,164,296,4
281,999,571,915,630,163,206,4
282,960,559,990,540,164,256,4
283,1062,524,1020,600,165,297,4
284,912,551,945,555,143,214,4
285,910,510,885,555,164,191,4
286,1069,345,886,509,348,212,4
287,912,508,931,524,150,238,4
288,931,481,886,600,103,228,4
289,910,453,765,585,144,181,4
290,908,539,795,585,125,198,4
291,11515,397,705,630,135,10750,5
292,1177,362,855,675,327,175,4
293,1071,559,780,750,230,91,4
294,1092,703,750,690,314,88,4
295,879,351,1230,555,111,213,4
296,833,427,555,660,133,40,4
297,954,536,691,749,179,26,4
298,991,344,796,719,191,81,4
299,838,440,555,660,136,42,4
300,11775,227,720,510,170,11095,5
301,972,380,780,555,234,183,4
302,1320,186,825,615,494,211,4
303,1063,507,1035,570,138,355,4
304,832,483,855,480,142,210,4
305,8359,330,870,585,118,7656,2
306,840,458,780,525,140,175,4
307,800,617,750,480,168,152,4
308,6062,454,585,540,127,5395,2
309,742,419,736,480,107,155,4
310,776,455,705,480,117,179,4
311,889,425,765,540,156,193,4
312,1287,203,840,495,535,257,4
313,890,396,870,555,203,132,4
314,10364,581,1185,315,1532,8517,5
315,7172,425,7441,720,94,6358,1
316,843,422,690,525,147,171,4
317,772,255,735,465,141,166,4
318,732,400,705,495,123,114,4
319,813,400,735,495,139,179,4
320,875,479,705,540,169,166,4
321,1209,233,795,600,462,147,4
322,824,439,870,525,124,175,4
323,724,383,690,480,117,127,4
324,755,465,675,495,108,152,4
325,903,426,3331,629,88,186,0
326,737,438,676,465,110,162,4
327,831,461,735,495,149,187,4
328,892,364,765,585,109,198,4
329,6615,449,3210,750,188,5677,2
330,9381,486,4395,675,192,8514,1
331,868,470,915,480,151,237,4
332,1028,566,960,630,176,222,4
