bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R
770,567,780,509,666,674
760,562,824,495,676,654
810,423,735,615,566,674
1270,498,660,1035,641,1129
830,558,810,540,681,709
750,557,810,525,656,654
700,523,810,450,626,604
1050,483,675,675,816,724
1030,539,1230,524,631,939
830,597,675,674,711,719
820,542,885,539,656,714
750,539,810,479,656,634
820,530,811,510,686,665
749,584,840,509,675,664
930,608,750,750,715,825
801,648,825,615,726,725
850,607,885,600,701,759
922,622,840,660,753,799
951,490,855,735,613,837
860,667,660,690,793,737
900,680,855,719,798,782
991,694,915,779,794,897
1021,688,870,824,809,902
1011,647,900,824,745,916
1021,731,840,795,871,890
1041,741,960,810,892,899
1041,720,975,780,898,863
1040,697,930,885,823,917
1110,677,900,870,843,947
1130,754,960,840,933,957
960,601,1005,764,733,837
901,686,780,734,807,783
940,616,840,824,702,858
990,616,780,810,722,888
960,494,840,735,607,853
1060,640,915,795,777,1103
920,442,825,750,572,798
1200,738,105,735,862,1078
950,615,930,765,737,833
870,721,810,765,762,838
920,720,855,689,857,783
1040,707,900,869,836,914
960,666,884,794,786,844
1010,389,885,779,521,879
1010,679,855,765,791,1099
940,610,840,780,721,829
940,671,750,690,796,824
1120,307,1020,780,426,1004
1310,697,855,750,831,1179
911,641,900,720,772,789
1040,669,825,794,862,848
1220,635,975,929,816,1044
990,613,930,704,791,819
1170,187,870,900,381,979
980,609,885,675,781,1179
890,609,825,675,781,719
910,668,840,765,756,824
940,622,915,645,766,804
890,607,930,615,721,779
870,458,885,615,551,779
880,714,750,750,761,949
880,663,825,734,751,799
860,583,825,674,700,750
930,397,750,735,515,2225
921,616,810,705,731,2560
812,638,765,705,713,739
930,563,750,765,698,802
640,401,750,525,473,577
830,482,555,600,638,682
680,754,840,405,833,607
662,473,945,434,595,547
701,430,735,464,526,605
1450,446,570,704,640,1260
1590,728,2025,510,826,1494
920,600,945,735,666,854
930,570,750,735,681,819
340,213,780,645,676,744
1010,790,750,764,961,839
1130,692,1065,779,946,884
830,698,1020,614,840,690
910,637,104,630,740,810
981,596,930,660,731,850
960,686,795,735,851,799
5790,556,4185,495,676,5674
790,549,765,570,681,659
910,872,735,734,1001,789
1160,717,1245,749,885,995
920,764,990,674,910,780
1121,984,990,870,1161,950
870,910,750,630,967,813
170,510,0,240,622,2318
670,540,765,465,602,608
760,494,765,525,572,688
770,520,675,630,557,733
900,538,104,570,692,748
690,605,750,584,657,643
1040,673,765,794,816,904
900,755,974,599,901,759
1640,635,879,614,785,1495
811,735,855,660,821,730
850,458,960,585,586,724
730,531,645,585,626,644
820,511,780,540,646,694
722,605,675,645,658,674
852,592,750,615,745,707
761,629,825,615,696,695
820,545,765,645,656,714
780,494,720,615,601,679
760,520,630,659,590,690
810,552,119,539,670,700
802,568,750,585,707,665
932,731,870,600,909,763
1140,696,1155,690,904,936
9353,632,9481,614,800,9193
1100,674,974,764,841,939
1160,618,1020,780,821,959
1140,693,975,780,906,934
1130,784,1035,780,1011,909
880,387,1095,615,571,699
6520,548,0,0,7641,0
920,806,7710,704,955,775
1121,850,1095,764,1066,905
1320,843,1290,885,1061,1109
11725,757,11912,690,944,11541
991,762,975,809,921,840
980,939,990,735,1116,804
1250,671,1305,780,961,969
2590,610,2790,600,771,2429
820,812,840,630,941,699
1170,850,1170,750,1041,979
1300,964,164,629,1211,1059
1690,744,1410,1124,1115,1325
1420,643,1350,945,890,1180
1462,688,1065,1005,971,1180
110,791,1155,915,961,1099
1240,639,1020,1110,711,1169
880,666,810,615,836,714
920,720,1050,585,841,799
1010,705,1065,600,896,825
1380,760,1005,869,1161,980
18441,831,18857,555,1030,18251
1001,722,1200,705,856,875
1022,743,1049,690,889,883
1261,732,1005,870,1015,986
1331,675,19322,584,849,18893
921,588,974,644,740,771
921,643,793,734,783,788
982,644,840,764,809,823
950,701,884,719,855,796
941,589,945,720,721,810
961,649,795,690,847,764
943,597,135,615,725,818
962,649,810,705,822,790
861,652,150,555,768,753
1022,954,825,825,1100,882
822,687,1170,659,782,730
890,604,960,540,782,718
920,671,1005,524,842,749
1009,644,1065,659,776,883
970,588,104,645,731,829
950,652,825,675,841,769
1150,701,945,735,1021,839
1081,771,1155,720,1007,854
1000,749,1230,660,867,883
1100,711,1020,810,857,963
1030,810,1020,510,1062,778
990,473,1260,659,612,858
630,412,735,404,522,529
660,458,614,479,546,574
670,479,585,554,556,594
730,478,645,510,611,599
710,516,735,495,611,619
691,525,630,570,632,589
720,549,750,495,657,613
710,592,795,495,677,633
801,507,825,540,623,688
700,593,675,570,678,622
730,516,735,570,623,627
740,455,735,509,578,622
710,1061,615,585,1149,622
829,563,1275,629,642,757
821,642,780,584,747,723
950,574,149,600,732,798
992,566,795,780,719,843
781,561,780,615,675,676
811,592,735,615,736,675
850,573,930,525,711,719
860,564,855,585,701,729
880,545,885,570,676,754
820,564,750,659,656,734
660,583,750,479,676,574
720,550,720,584,641,629
750,527,795,479,645,635
781,533,795,524,646,675
790,560,825,510,661,689
800,560,795,555,671,689
750,529,735,600,616,664
760,560,735,555,646,674
771,605,720,585,722,659
740,550,885,480,647,643
811,580,795,525,718,673
730,540,870,479,638,632
790,527,795,539,623,697
792,517,690,614,629,683
811,531,674,614,690,661
740,514,735,599,615,645
760,574,675,659,620,720
820,513,765,645,550,790
771,554,675,585,621,710
800,523,750,585,616,714
730,624,720,555,701,659
690,563,795,525,641,619
860,537,825,540,676,724
792,564,735,615,687,674
840,553,840,585,662,738
700,571,690,584,667,613
830,528,750,614,661,699
810,521,719,659,621,719
780,525,660,645,626,684
890,584,690,675,741,739
780,542,810,600,661,669
830,544,765,585,691,689
800,557,780,600,671,689
740,586,825,495,681,649
790,589,840,540,681,699
830,585,810,615,676,744
780,584,795,570,681,689
650,631,825,420,717,564
789,629,885,524,726,693
780,649,900,509,746,684
850,623,900,569,755,725
840,623,809,644,770,700
800,552,915,540,675,685
801,582,825,540,701,690
820,550,870,540,661,709
760,640,705,615,742,659
789,464,915,540,546,713
640,437,630,480,516,564
640,499,615,480,561,579
690,494,690,465,596,594
690,521,720,465,631,589
670,480,735,479,565,585
690,513,705,449,620,590
700,494,735,480,605,595
622,560,735,420,632,550
712,461,735,510,569,613
621,500,645,465,580,541
670,594,735,450,665,605
540,664,720,420,735,475
710,621,870,540,665,675
682,563,735,540,642,610
710,532,735,525,632,618
710,586,705,570,657,643
650,537,720,510,617,573
680,544,690,524,631,599
731,575,719,584,637,674
652,595,720,524,644,608
651,563,720,480,664,556
712,592,765,570,641,671
760,564,825,495,651,679
920,539,765,690,656,804
800,551,750,585,681,679
830,556,780,630,661,729
860,532,120,570,666,734
820,550,735,630,671,699
800,562,855,510,676,694
800,561,750,584,711,659
760,517,870,479,641,640
790,517,779,539,630,680
771,494,765,509,626,645
750,533,675,615,626,664
801,594,765,540,722,679
802,564,780,645,669,703
791,621,750,585,755,666
861,469,840,645,601,730
681,418,735,465,502,599
610,478,615,420,557,533
770,493,675,555,597,673
730,489,645,540,632,588
740,487,690,569,602,628
660,478,750,419,571,569
670,496,704,434,601,569
740,428,750,464,556,614
680,411,675,480,501,599
660,420,555,525,501,579
620,446,600,435,536,534
640,425,630,480,496,574
660,413,600,450,526,554
670,412,645,450,521,569
660,458,615,480,546,574
710,394,585,525,546,564
690,443,615,495,576,564
680,415,690,464,521,579
620,403,615,419,516,514
520,423,585,404,475,475
580,407,584,404,475,515
520,416,644,284,486,454
580,412,615,374,495,505
600,395,600,404,490,510
640,387,540,495,485,545
580,404,600,390,485,505
491,433,525,390,501,430
530,390,525,420,476,444
530,388,570,345,481,439
530,371,585,345,452,449
569,388,585,345,481,478
530,403,600,315,506,434
520,408,615,345,476,454
530,376,570,345,471,439
540,371,585,345,461,459
530,371,104,330,471,439
550,411,495,449,496,474
570,385,585,374,496,464
580,386,616,359,490,480
570,388,599,389,460,500
600,373,540,405,495,485
632,408,585,450,502,540
570,423,570,405,527,473
580,429,615,420,502,508
640,361,615,420,468,533
629,457,495,510,552,537
620,412,675,390,527,513
680,396,660,420,527,553
640,429,540,540,517,553
620,469,585,450,572,518
680,436,705,449,537,583
630,454,660,404,562,528
660,412,119,405,532,548
670,449,630,464,557,563
650,474,705,419,561,569
560,495,585,434,601,459
621,452,720,405,556,524
610,422,690,375,531,509
540,464,630,360,551,459
620,478,660,420,571,529
620,418,690,420,501,539
630,441,615,435,531,549
610,451,645,405,551,519
610,432,570,510,521,529
630,498,540,540,571,559
640,462,720,405,556,554
620,457,134,390,541,539
640,450,660,434,536,554
690,450,630,494,550,590
680,423,674,449,535,575
750,427,585,569,560,620
700,430,630,479,580,550
660,428,645,495,530,560
691,405,600,495,536,565
630,466,630,450,556,544
660,442,675,435,556,554
630,426,660,405,551,509
680,417,675,435,541,559
800,511,675,540,646,674
640,556,735,495,616,584
680,487,780,420,586,584
680,467,720,450,566,584
730,469,675,509,581,619
712,498,705,524,562,650
700,536,614,509,677,563
710,477,735,540,592,598
691,489,645,540,588,593
772,485,660,570,620,642
691,515,660,540,631,580
691,472,795,420,587,584
740,474,630,585,592,628
770,500,705,540,617,653
790,509,690,600,627,673
801,507,120,480,633,678
730,464,795,465,573,627
721,464,615,584,564,627
731,496,705,494,595,636
751,478,616,629,581,650
710,473,645,539,585,605
701,467,615,569,571,600
733,461,705,480,589,614
721,472,735,465,590,611
650,539,735,450,595,595
691,496,630,555,601,590
731,553,615,615,661,629
700,500,825,435,601,599
850,501,765,555,632,719
750,448,780,495,557,643
761,427,570,630,548,643
653,445,585,494,570,533
671,475,689,464,567,585
651,474,660,479,557,574
700,485,659,509,577,613
781,533,720,570,608,713
651,491,645,540,574,577
742,495,615,600,601,641
661,496,630,570,562,599
800,517,120,525,637,683
810,525,795,540,642,698
790,517,795,540,617,693
811,851,765,540,974,688
1169,865,1260,659,1093,946
1560,704,1305,989,1067,1203
1360,906,1260,1124,952,1318
1300,897,1124,915,1112,1088
1480,815,1230,1095,1087,1213
1420,816,1215,990,1122,1118
1721,970,1305,1110,1398,1293
1950,873,2175,705,1348,1482
2090,787,1905,899,1422,1458
1600,786,1905,689,1217,1173
2041,851,1785,810,1522,1378
2010,854,2130,720,1542,1328
1540,955,2160,630,1252,1248
1370,1010,1620,795,1217,1163
1930,1037,1605,1124,1457,1513
2130,1365,1680,1259,2016,1484
219,1541,2925,990,2401,1899
2750,1328,3375,960,2146,1934
2020,1269,2820,914,2171,1589
2970,1128,2910,1139,2220,1880
400,1146,2895,1050,2295,1725
2281,843,2835,1020,1571,1560
2030,924,2085,1005,1441,1519
1660,1118,1725,915,1581,1199
1300,987,2071,599,1200,1090
1671,860,1350,1005,1376,1155
1270,916,1470,885,1211,979
1202,753,1365,810,998,964
1223,740,1140,840,981,982
1131,721,1080,780,982,879
1060,699,1140,765,837,923
1180,756,930,824,1022,918
1100,659,1125,809,846,914
1220,711,960,840,986,954
1200,685,1095,855,926,964
1660,890,1065,1230,1181,1369
1280,870,1305,810,1216,934
1320,966,270,705,1241,1049
1550,862,1530,855,1276,1144
1810,808,1590,974,1331,1289
1440,809,1485,974,1120,1130
1572,824,1335,855,1167,1235
1712,838,1335,1155,1229,1323
1741,1135,1425,1125,1560,1321
1270,769,1665,870,1065,975
1372,840,1215,899,1162,1050
1350,895,1290,929,1191,1059
1370,932,1334,1050,1116,1194
1230,817,1245,855,1066,984
1300,814,1200,915,1071,1049
1300,814,1155,930,1106,1014
1341,860,1230,885,1201,1009
1250,731,1290,900,1001,989
1190,797,1140,840,1011,979
1690,681,1155,1169,1056,1315
1379,656,1244,899,950,1089
1261,717,1065,855,1011,970
1152,884,1155,825,1073,969
1500,698,1320,1035,918,1282
1210,773,1065,840,1003,987
1070,818,1125,720,1048,842
1120,889,1140,794,1123,887
1200,1096,1410,719,1292,1008
1270,891,1454,944,1062,1108
1451,869,1185,930,1163,1158
1072,713,1260,780,915,877
1271,705,1050,915,931,1050
1031,811,1050,705,1018,824
1110,798,1140,765,1022,887
1130,633,1125,750,812,958
980,811,870,779,953,838
1109,657,1245,629,846,923
1150,738,915,915,906,984
971,737,150,600,892,819
1070,872,1095,705,1042,908
1121,790,1110,735,958,953
1051,705,165,645,888,872
1481,752,1020,1080,1028,1212
1200,656,1170,824,893,967
1120,730,1005,839,897,953
1110,646,1110,734,812,948
1040,776,915,765,952,868
970,794,1155,645,922,848
950,671,990,705,857,773
920,647,105,615,792,778
1020,671,885,765,842,858
1000,622,930,750,792,838
960,688,900,690,852,798
1180,573,975,869,766,994
1030,664,869,734,861,839
990,726,945,750,886,834
970,683,975,765,806,854
1000,808,870,795,951,859
1080,612,1080,765,806,894
930,769,915,660,931,769
970,766,1020,720,931,809
1100,684,960,720,891,899
980,791,1036,703,922,849
1189,684,1185,719,896,983
1080,753,1035,734,965,875
1161,678,1020,839,946,895
1030,735,1050,765,901,869
970,677,990,750,811,839
980,661,915,720,826,824
1090,695,930,780,906,884
1040,682,1065,765,806,924
980,756,885,720,941,799
1140,659,1020,869,851,949
1020,657,945,749,835,845
1080,698,930,780,905,875
960,550,1020,690,705,805
980,937,780,690,1155,765
1032,654,1425,615,807,885
1060,605,870,840,767,903
950,751,885,675,917,793
970,704,1080,615,902,778
970,726,960,735,907,793
1211,701,990,884,952,969
1160,748,1035,854,972,938
1044,650,165,660,821,873
1190,898,960,840,1111,979
1340,896,1305,885,1161,1079
1400,944,1260,975,1276,1074
1300,794,1440,885,1051,1049
1420,740,1155,1065,991,1169
1270,792,1065,870,1021,1049
1230,691,1185,884,880,1050
970,654,960,735,815,815
1081,691,915,795,886,895
880,574,120,570,681,779
1881,657,720,1545,836,1704
940,626,945,720,741,829
1170,623,945,810,786,1014
951,629,945,645,777,804
770,424,975,494,507,693
630,477,615,449,551,559
670,430,674,434,541,559
670,429,690,434,516,584
660,450,630,465,531,579
600,518,600,465,586,534
620,479,720,405,561,539
691,511,705,450,616,594
760,514,765,480,651,629
740,496,765,510,616,624
760,567,675,585,686,644
770,506,855,510,601,679
790,468,660,585,616,644
740,481,104,465,601,629
740,521,750,464,656,614
680,487,765,464,596,574
720,540,765,449,640,620
771,493,779,494,635,635
760,478,780,510,585,655
751,496,720,495,621,630
800,542,675,615,681,669
860,645,750,630,811,699
850,546,825,675,711,689
950,492,780,705,676,774
1050,586,735,765,816,824
760,673,825,599,831,609
900,587,1035,569,716,774
900,567,885,584,715,755
991,565,824,749,701,860
940,606,810,660,781,769
870,599,825,660,766,704
861,513,825,645,677,704
810,537,120,525,692,658
922,554,165,600,704,778
832,579,120,555,721,691
761,572,780,600,682,659
790,504,825,525,632,668
750,531,780,494,647,643
810,566,795,524,707,673
790,531,780,584,671,659
800,522,735,614,651,679
840,541,750,585,706,684
860,523,870,555,671,719
770,532,825,510,646,664
850,513,675,690,651,719
781,549,705,615,662,669
760,535,810,495,657,643
770,532,135,495,662,648
790,495,840,495,617,673
820,470,660,660,587,703
800,526,675,585,657,673
750,554,705,584,676,634
771,558,134,494,656,674
860,497,119,569,651,709
800,543,795,525,681,669
710,468,705,585,571,609
760,507,675,540,626,644
770,522,780,465,681,619
811,545,855,510,677,684
730,545,840,480,637,643
880,606,705,630,792,698
890,575,975,570,717,753
860,534,915,509,692,708
800,579,885,479,707,673
830,839,930,494,951,719
0,436,0,0,0,0
0,452,0,480,456,0
671,773,465,555,887,564
0,450,0,0,0,0
460,428,0,480,432,458
721,593,465,630,657,663
0,444,0,0,0,0
0,508,0,495,492,0
760,602,615,585,662,708
0,501,0,435,451,0
510,417,495,420,466,464
600,486,540,465,551,539
750,437,645,600,496,694
0,433,0,404,431,0
490,414,450,464,425,485
590,495,509,449,555,535
630,462,584,554,515,585
511,413,540,465,441,490
571,397,510,420,482,489
0,491,0,0,0,0
0,458,0,0,0,0
0,448,0,450,512,0
811,692,585,630,808,703
660,427,870,510,518,572
690,458,645,450,573,577
760,502,735,465,643,627
900,516,750,660,653,767
712,459,780,464,579,593
711,465,719,464,576,605
740,481,735,464,605,625
780,619,735,509,760,640
822,485,810,645,617,695
680,405,735,480,492,598
640,420,585,450,517,543
800,519,615,615,607,713
700,456,750,450,567,593
660,464,690,435,572,558
760,550,690,525,667,643
780,535,105,525,637,683
720,522,675,584,627,623
720,464,780,449,587,603
760,463,720,509,587,643
730,551,735,494,637,644
699,527,660,599,606,623
780,485,735,525,616,654
770,490,765,510,601,659
711,502,750,465,606,614
740,456,765,495,546,654
790,538,585,645,646,684
820,473,705,630,611,689
700,423,765,450,526,604
820,434,630,585,571,689
730,530,660,525,646,614
770,451,810,495,571,659
790,428,690,524,576,644
750,504,735,479,621,639
670,481,735,449,595,565
720,420,630,569,535,605
700,450,690,435,560,590
620,624,705,420,685,565
860,531,780,660,645,755
722,567,780,525,631,660
841,516,765,585,642,719
720,531,795,480,627,633
750,565,810,450,687,633
790,522,825,570,612,708
760,472,750,495,607,633
770,430,750,494,562,638
750,500,675,509,627,623
770,633,660,614,761,649
800,494,915,494,651,649
780,478,795,510,606,654
800,477,750,510,626,654
820,521,750,540,686,664
750,514,735,585,636,634
790,428,780,510,566,654
810,482,660,569,636,664
721,570,705,555,676,624
780,497,825,525,606,674
830,608,735,584,726,714
930,508,915,569,680,760
850,624,869,539,750,730
970,665,854,794,740,900
0,925,0,0,0,0
1281,907,134,810,1156,1035
1240,838,1230,915,971,1109
1440,824,1155,990,1095,1175
1340,853,1199,915,1181,1019
1220,922,1365,794,1171,979
1330,1005,164,839,1215,1125
1562,854,120,930,1087,1335
1392,905,1260,975,1154,1148
1272,832,1200,945,1001,1111
1020,1018,1230,735,1076,964
1230,911,1365,765,1087,1054
1189,904,1170,930,1086,1013
1210,823,1380,779,966,1074
1340,803,1080,1034,1000,1150
1313,876,1245,840,1108,1085
1333,891,1410,855,1067,1157
1480,872,1200,1005,1221,1138
1300,978,1320,990,1191,1089
1240,866,1455,795,1051,1059
1190,819,1125,825,1006,1004
1280,793,1020,855,1046,1034
1312,862,1080,853,1097,1085
1322,773,1320,930,949,1153
1232,848,1125,855,1051,1031
1092,871,1155,885,974,989
1330,784,1230,900,964,1156
1262,888,1065,960,1091,1061
1330,885,1200,1035,1076,1144
1232,825,1155,974,1008,1054
1103,832,1126,825,1000,943
