,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
2718,1223,740,1140,840,981,982,1
2719,1131,721,1080,780,982,879,1
2720,1060,699,1140,765,837,923,1
2721,1180,756,930,824,1022,918,1
2722,1100,659,1125,809,846,914,1
2723,1220,711,960,840,986,954,1
2724,1200,685,1095,855,926,964,1
2725,1660,890,1065,1230,1181,1369,1
2726,1280,870,1305,810,1216,934,1
2727,1320,966,270,705,1241,1049,1
2728,1550,862,1530,855,1276,1144,1
2729,1810,808,1590,974,1331,1289,1
2730,1550,862,1530,855,1276,1144,1
2731,0,539,0,0,0,0,0
2732,0,595,0,0,0,0,0
2733,0,651,0,0,0,0,0
2734,0,545,0,0,0,0,0
2735,0,566,0,0,0,0,0
2736,0,498,0,0,0,0,0
2737,0,541,0,0,0,0,0
2738,0,602,0,0,0,0,0
2739,0,553,0,0,0,0,0
2740,0,550,0,0,0,0,0
2741,0,546,0,0,0,0,0
2742,0,543,0,0,0,0,0
2743,0,540,0,0,0,0,0
2744,0,537,0,0,0,0,0
2745,0,534,0,0,0,0,0
